guard_subset,context_length_name,unsafe_prompt_position,comparison_variable,condition_a,condition_b,n_overlap,n_scorable_pairs,unsafe_pct_a,unsafe_pct_b,delta_percentage_points_b_minus_a,delta_ci95_low,delta_ci95_high,risk_ratio_b_over_a,a_safe_b_unsafe,a_unsafe_b_safe,mcnemar_exact_p
aprielguard,32k,beginning,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,3190,3190,35.23510971786834,0.7210031347962382,-34.5141065830721,-36.175548589341695,-32.9153605015674,0.020462633451957295,1,1102,0.0
aprielguard,32k,end,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,3190,3190,9.184952978056426,22.758620689655174,13.573667711598747,12.068965517241379,15.047021943573668,2.477815699658703,556,123,1.3439979662166373e-66
aprielguard,32k,middle,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,3188,113,40.707964601769916,37.16814159292036,-3.5398230088495577,-13.274336283185843,7.079646017699115,0.9130434782608696,14,18,0.5966148958541453
aprielguard,8k,beginning,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,3190,3190,28.526645768025077,10.9717868338558,-17.55485893416928,-19.153605015673982,-15.956112852664578,0.38461538461538464,106,666,5.31062083423041e-100
aprielguard,8k,end,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,3190,3190,10.344827586206897,23.385579937304072,13.04075235109718,11.535266457680251,14.5141065830721,2.2606060606060607,515,99,9.738753853627437e-69
aprielguard,8k,middle,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,3190,3190,32.445141065830725,13.5423197492163,-18.90282131661442,-20.470219435736677,-17.36677115987461,0.417391304347826,83,686,6.397845242550702e-119
crest,32k,beginning,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,1237,1237,48.100242522231206,1.2126111560226354,-46.88763136620857,-49.87873888439774,-44.058205335489085,0.025210084033613443,0,580,5.053968264940244e-175
crest,32k,end,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,1237,1237,11.883589329021827,26.354082457558608,14.470493128536782,11.883589329021827,17.219078415521423,2.217687074829932,234,55,1.893082946699258e-27
crest,32k,middle,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,1237,33,48.484848484848484,42.42424242424242,-6.0606060606060606,-24.242424242424242,12.121212121212121,0.875,3,5,0.7265625
crest,8k,beginning,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,1237,1237,40.98625707356508,16.49151172190784,-24.494745351657237,-27.324171382376715,-21.582457558609548,0.4023668639053255,52,355,1.457771429631215e-56
crest,8k,end,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,1237,1237,14.632174616006468,28.53678253839935,13.904607922392886,11.317704122877931,16.49151172190784,1.9502762430939224,228,56,8.667223727528488e-26
crest,8k,middle,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,1237,1237,43.654001616814874,17.461600646725948,-26.192400970088926,-28.940986257073565,-23.522635408245765,0.4,29,353,6.373166861225188e-72
guardreasoner,32k,beginning,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,102,102,32.35294117647059,0.0,-32.35294117647059,-41.17647058823529,-23.52941176470588,0.0,0,33,2.3283064365386963e-10
guardreasoner,32k,end,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,102,102,5.88235294117647,12.745098039215685,6.862745098039216,0.0,13.725490196078432,2.1666666666666665,10,3,0.09228515625
guardreasoner,32k,middle,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,102,5,0.0,0.0,0.0,0.0,0.0,,0,0,1.0
guardreasoner,8k,beginning,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,102,102,27.450980392156865,4.901960784313726,-22.54901960784314,-31.372549019607842,-14.705882352941178,0.17857142857142855,1,24,1.5497207641601562e-06
guardreasoner,8k,end,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,102,102,1.9607843137254901,13.725490196078432,11.76470588235294,5.88235294117647,18.627450980392158,7.000000000000001,12,0,0.00048828125
guardreasoner,8k,middle,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,102,102,20.588235294117645,7.8431372549019605,-12.745098039215685,-21.568627450980394,-4.901960784313726,0.380952380952381,4,17,0.007197380065917969
wildguard,32k,beginning,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,18,18,27.77777777777778,0.0,-27.77777777777778,-50.0,-11.11111111111111,0.0,0,5,0.0625
wildguard,32k,end,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,18,18,5.555555555555555,5.555555555555555,0.0,-16.666666666666664,16.666666666666664,1.0,1,1,1.0
wildguard,32k,middle,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,18,1,100.0,0.0,-100.0,,,0.0,0,1,1.0
wildguard,8k,beginning,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,18,18,16.666666666666664,11.11111111111111,-5.555555555555555,-27.77777777777778,11.11111111111111,0.6666666666666666,1,2,1.0
wildguard,8k,end,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,18,18,5.555555555555555,0.0,-5.555555555555555,-16.666666666666664,0.0,0.0,0,1,1.0
wildguard,8k,middle,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,18,18,16.666666666666664,0.0,-16.666666666666664,-38.88888888888889,0.0,0.0,0,3,0.25
xguard,32k,beginning,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,2524,2524,37.836767036450084,0.7923930269413629,-37.044374009508715,-38.94611727416798,-35.18125990491284,0.020942408376963352,1,936,1.614830326615534e-279
xguard,32k,end,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,2524,2524,10.45958795562599,25.118858954041208,14.659270998415213,12.797147385103012,16.44215530903328,2.401515151515152,479,109,2.930104978558957e-56
xguard,32k,middle,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,2522,83,45.78313253012048,40.963855421686745,-4.819277108433735,-16.867469879518072,6.024096385542169,0.8947368421052632,10,14,0.5412561893463135
xguard,8k,beginning,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,2524,2524,31.061806656101425,12.044374009508717,-19.01743264659271,-20.879556259904913,-17.15530903328051,0.38775510204081637,86,566,1.5600521687059729e-87
xguard,8k,end,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,2524,2524,11.489698890649763,25.673534072900157,14.183835182250396,12.480190174326466,15.847860538827257,2.2344827586206897,441,83,6.003089662630334e-60
xguard,8k,middle,agent_model,Qwen/Qwen2.5-14B-Instruct,meta-llama/Llama-3.1-8B-Instruct,2524,2524,35.45958795562599,15.055467511885896,-20.404120443740094,-22.14837559429477,-18.699484944532493,0.4245810055865921,66,581,7.578119860723732e-104
