guard_subset,agent_model,unsafe_prompt_position,comparison_variable,condition_a,condition_b,n_overlap,n_scorable_pairs,unsafe_pct_a,unsafe_pct_b,delta_percentage_points_b_minus_a,delta_ci95_low,delta_ci95_high,risk_ratio_b_over_a,a_safe_b_unsafe,a_unsafe_b_safe,mcnemar_exact_p
aprielguard,Qwen/Qwen2.5-14B-Instruct,beginning,context_length_name,8k,32k,3190,3190,28.526645768025077,35.23510971786834,6.70846394984326,5.454545454545454,7.900470219435733,1.2351648351648352,316,102,1.4729879164741855e-26
aprielguard,Qwen/Qwen2.5-14B-Instruct,end,context_length_name,8k,32k,3190,3190,10.344827586206897,9.184952978056426,-1.1598746081504703,-2.037617554858934,-0.3134796238244514,0.8878787878787879,83,120,0.011330084012628094
aprielguard,Qwen/Qwen2.5-14B-Instruct,middle,context_length_name,8k,32k,3188,113,30.973451327433626,40.707964601769916,9.734513274336283,2.6548672566371683,16.8141592920354,1.3142857142857145,14,3,0.012725830078125
aprielguard,meta-llama/Llama-3.1-8B-Instruct,beginning,context_length_name,8k,32k,3190,3190,10.9717868338558,0.7210031347962382,-10.25078369905956,-11.442006269592477,-9.184952978056426,0.06571428571428571,13,340,1.922838060169277e-83
aprielguard,meta-llama/Llama-3.1-8B-Instruct,end,context_length_name,8k,32k,3190,3190,23.385579937304072,22.758620689655174,-0.6269592476489028,-1.8495297805642634,0.5015673981191223,0.9731903485254693,190,210,0.34212239608405126
aprielguard,meta-llama/Llama-3.1-8B-Instruct,middle,context_length_name,8k,32k,3190,3190,13.5423197492163,22.85266457680251,9.310344827586208,7.931034482758621,10.69043887147335,1.6875000000000002,409,112,9.908372870646962e-41
crest,Qwen/Qwen2.5-14B-Instruct,beginning,context_length_name,8k,32k,1237,1237,40.98625707356508,48.100242522231206,7.113985448666129,5.092966855295069,9.21786580436539,1.173570019723866,132,44,2.0630091377688624e-11
crest,Qwen/Qwen2.5-14B-Instruct,end,context_length_name,8k,32k,1237,1237,14.632174616006468,11.883589329021827,-2.7485852869846403,-4.284559417946645,-1.2934518997574778,0.8121546961325966,29,63,0.000509090224349734
crest,Qwen/Qwen2.5-14B-Instruct,middle,context_length_name,8k,32k,1237,33,45.45454545454545,48.484848484848484,3.0303030303030303,0.0,9.090909090909092,1.0666666666666667,1,0,1.0
crest,meta-llama/Llama-3.1-8B-Instruct,beginning,context_length_name,8k,32k,1237,1237,16.49151172190784,1.2126111560226354,-15.278900565885206,-17.38075990299111,-13.177041228779304,0.07352941176470587,6,195,5.452105860272954e-50
