source_file,guard_subset,guard_subset_display,file_guard,context_type,context_length,prompt_position,agent_tag,raw_nonblank_rows,malformed_rows,missing_key_rows,unique_composite_keys_in_file,duplicate_key_rows_within_file,unique_sample_ids_in_file,valid_inference_rows_raw,scorable_rows_raw,agent_inference_reused_rows,guard_metadata_mismatch_rows,expected_cases,completion_pct
aprielguard/longctx_conversation_32k_beginning_aprielguard_k=1_llama31_8b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,32k,beginning,llama31_8b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
aprielguard/longctx_conversation_32k_beginning_aprielguard_k=1_qwen25_14b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,32k,beginning,qwen25_14b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
aprielguard/longctx_conversation_32k_end_aprielguard_k=1_llama31_8b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,32k,end,llama31_8b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
aprielguard/longctx_conversation_32k_end_aprielguard_k=1_qwen25_14b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,32k,end,qwen25_14b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
aprielguard/longctx_conversation_32k_middle_aprielguard_k=1_llama31_8b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,32k,middle,llama31_8b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
aprielguard/longctx_conversation_32k_middle_aprielguard_k=1_qwen25_14b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,32k,middle,qwen25_14b,3190,2,0,3188,0,3188,113,113,0,0,3190,99.9373040752351
aprielguard/longctx_conversation_8k_beginning_aprielguard_k=1_llama31_8b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,8k,beginning,llama31_8b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
aprielguard/longctx_conversation_8k_beginning_aprielguard_k=1_qwen25_14b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,8k,beginning,qwen25_14b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
aprielguard/longctx_conversation_8k_end_aprielguard_k=1_llama31_8b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,8k,end,llama31_8b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
aprielguard/longctx_conversation_8k_end_aprielguard_k=1_qwen25_14b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,8k,end,qwen25_14b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
aprielguard/longctx_conversation_8k_middle_aprielguard_k=1_llama31_8b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,8k,middle,llama31_8b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
aprielguard/longctx_conversation_8k_middle_aprielguard_k=1_qwen25_14b.jsonl,aprielguard,AprielGuard,aprielguard,conversation,8k,middle,qwen25_14b,3190,0,0,3190,0,3190,3190,3190,0,0,3190,100.0
crest/longctx_conversation_32k_beginning_crest_k=1_llama31_8b.jsonl,crest,CREST,crest,conversation,32k,beginning,llama31_8b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
crest/longctx_conversation_32k_beginning_crest_k=1_qwen25_14b.jsonl,crest,CREST,crest,conversation,32k,beginning,qwen25_14b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
crest/longctx_conversation_32k_end_crest_k=1_llama31_8b.jsonl,crest,CREST,crest,conversation,32k,end,llama31_8b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
crest/longctx_conversation_32k_end_crest_k=1_qwen25_14b.jsonl,crest,CREST,crest,conversation,32k,end,qwen25_14b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
crest/longctx_conversation_32k_middle_crest_k=1_llama31_8b.jsonl,crest,CREST,crest,conversation,32k,middle,llama31_8b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
crest/longctx_conversation_32k_middle_crest_k=1_qwen25_14b.jsonl,crest,CREST,crest,conversation,32k,middle,qwen25_14b,1237,0,0,1237,0,1237,33,33,1237,0,1237,100.0
crest/longctx_conversation_8k_beginning_crest_k=1_llama31_8b.jsonl,crest,CREST,crest,conversation,8k,beginning,llama31_8b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
crest/longctx_conversation_8k_beginning_crest_k=1_qwen25_14b.jsonl,crest,CREST,crest,conversation,8k,beginning,qwen25_14b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
crest/longctx_conversation_8k_end_crest_k=1_llama31_8b.jsonl,crest,CREST,crest,conversation,8k,end,llama31_8b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
crest/longctx_conversation_8k_end_crest_k=1_qwen25_14b.jsonl,crest,CREST,crest,conversation,8k,end,qwen25_14b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
crest/longctx_conversation_8k_middle_crest_k=1_llama31_8b.jsonl,crest,CREST,crest,conversation,8k,middle,llama31_8b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
crest/longctx_conversation_8k_middle_crest_k=1_qwen25_14b.jsonl,crest,CREST,crest,conversation,8k,middle,qwen25_14b,1237,0,0,1237,0,1237,1237,1237,1237,0,1237,100.0
guardreasoner/longctx_conversation_32k_beginning_guardreasoner_k=1_llama31_8b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,32k,beginning,llama31_8b,102,0,0,102,0,102,102,102,102,0,102,100.0
guardreasoner/longctx_conversation_32k_beginning_guardreasoner_k=1_qwen25_14b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,32k,beginning,qwen25_14b,102,0,0,102,0,102,102,102,102,0,102,100.0
guardreasoner/longctx_conversation_32k_end_guardreasoner_k=1_llama31_8b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,32k,end,llama31_8b,102,0,0,102,0,102,102,102,102,0,102,100.0
guardreasoner/longctx_conversation_32k_end_guardreasoner_k=1_qwen25_14b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,32k,end,qwen25_14b,102,0,0,102,0,102,102,102,102,0,102,100.0
guardreasoner/longctx_conversation_32k_middle_guardreasoner_k=1_llama31_8b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,32k,middle,llama31_8b,102,0,0,102,0,102,102,102,102,0,102,100.0
guardreasoner/longctx_conversation_32k_middle_guardreasoner_k=1_qwen25_14b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,32k,middle,qwen25_14b,102,0,0,102,0,102,5,5,102,0,102,100.0
guardreasoner/longctx_conversation_8k_beginning_guardreasoner_k=1_llama31_8b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,8k,beginning,llama31_8b,102,0,0,102,0,102,102,102,102,0,102,100.0
guardreasoner/longctx_conversation_8k_beginning_guardreasoner_k=1_qwen25_14b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,8k,beginning,qwen25_14b,102,0,0,102,0,102,102,102,102,0,102,100.0
guardreasoner/longctx_conversation_8k_end_guardreasoner_k=1_llama31_8b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,8k,end,llama31_8b,102,0,0,102,0,102,102,102,102,0,102,100.0
guardreasoner/longctx_conversation_8k_end_guardreasoner_k=1_qwen25_14b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,8k,end,qwen25_14b,102,0,0,102,0,102,102,102,102,0,102,100.0
guardreasoner/longctx_conversation_8k_middle_guardreasoner_k=1_llama31_8b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,8k,middle,llama31_8b,102,0,0,102,0,102,102,102,102,0,102,100.0
guardreasoner/longctx_conversation_8k_middle_guardreasoner_k=1_qwen25_14b.jsonl,guardreasoner,GuardReasoner,guardreasoner,conversation,8k,middle,qwen25_14b,102,0,0,102,0,102,102,102,102,0,102,100.0
wildguard/longctx_conversation_32k_beginning_wildguard_k=1_llama31_8b.jsonl,wildguard,WildGuard,wildguard,conversation,32k,beginning,llama31_8b,18,0,0,18,0,18,18,18,18,0,18,100.0
