agent_model,context_length_name,comparison_variable,condition_a,condition_b,n_overlap,n_scorable_pairs,unsafe_pct_a,unsafe_pct_b,delta_percentage_points_b_minus_a,delta_ci95_low,delta_ci95_high,risk_ratio_b_over_a,a_safe_b_unsafe,a_unsafe_b_safe,mcnemar_exact_p
Qwen/Qwen2.5-14B-Instruct,32k,unsafe_prompt_position,beginning,middle,3188,113,34.51327433628318,40.707964601769916,6.1946902654867255,1.7699115044247788,11.504424778761061,1.1794871794871795,8,1,0.0390625
Qwen/Qwen2.5-14B-Instruct,32k,unsafe_prompt_position,beginning,end,3190,3190,35.23510971786834,9.184952978056426,-26.050156739811914,-27.680250783699062,-24.450626959247654,0.26067615658362986,31,862,6.75648542783639e-212
Qwen/Qwen2.5-14B-Instruct,32k,unsafe_prompt_position,middle,end,3188,113,40.707964601769916,8.849557522123893,-31.858407079646017,-40.707964601769916,-23.893805309734514,0.21739130434782608,0,36,2.9103830456733704e-11
Qwen/Qwen2.5-14B-Instruct,8k,unsafe_prompt_position,beginning,middle,3190,3190,28.526645768025077,32.445141065830725,3.918495297805643,2.5391849529780566,5.266457680250784,1.1373626373626375,301,176,1.1341884565676042e-08
Qwen/Qwen2.5-14B-Instruct,8k,unsafe_prompt_position,beginning,end,3190,3190,28.526645768025077,10.344827586206897,-18.181818181818183,-19.62382445141066,-16.77115987460815,0.3626373626373626,39,619,2.2582702869774507e-135
Qwen/Qwen2.5-14B-Instruct,8k,unsafe_prompt_position,middle,end,3190,3190,32.445141065830725,10.344827586206897,-22.10031347962382,-23.54310344827586,-20.595611285266457,0.3188405797101449,16,721,8.695366815878278e-190
meta-llama/Llama-3.1-8B-Instruct,32k,unsafe_prompt_position,beginning,middle,3190,3190,0.7210031347962382,22.85266457680251,22.13166144200627,20.720219435736677,23.667711598746084,31.695652173913047,715,9,3.288540248763519e-198
meta-llama/Llama-3.1-8B-Instruct,32k,unsafe_prompt_position,beginning,end,3190,3190,0.7210031347962382,22.758620689655174,22.037617554858933,20.564263322884013,23.5423197492163,31.565217391304348,710,7,5.498685717891085e-200
meta-llama/Llama-3.1-8B-Instruct,32k,unsafe_prompt_position,middle,end,3190,3190,22.85266457680251,22.758620689655174,-0.09404388714733543,-1.5047021943573669,1.316614420062696,0.9958847736625515,259,262,0.930188525592791
meta-llama/Llama-3.1-8B-Instruct,8k,unsafe_prompt_position,beginning,middle,3190,3190,10.9717868338558,13.5423197492163,2.5705329153605017,1.2539184952978055,3.9811912225705326,1.2342857142857142,288,206,0.00026021950537975336
meta-llama/Llama-3.1-8B-Instruct,8k,unsafe_prompt_position,beginning,end,3190,3190,10.9717868338558,23.385579937304072,12.413793103448276,10.815047021943574,13.981191222570533,2.1314285714285712,543,147,3.232702662631199e-54
meta-llama/Llama-3.1-8B-Instruct,8k,unsafe_prompt_position,middle,end,3190,3190,13.5423197492163,23.385579937304072,9.843260188087774,8.557210031347962,11.065830721003135,1.7268518518518519,387,73,1.060548021936464e-52
