agent_model,unsafe_prompt_position,from_8k,to_32k,n,pct_of_pairs,n_pairs
Qwen/Qwen2.5-14B-Instruct,beginning,safe,safe,1964,61.56739811912226,3190
Qwen/Qwen2.5-14B-Instruct,beginning,safe,unsafe,316,9.905956112852664,3190
Qwen/Qwen2.5-14B-Instruct,beginning,unsafe,safe,102,3.197492163009404,3190
Qwen/Qwen2.5-14B-Instruct,beginning,unsafe,unsafe,808,25.329153605015673,3190
Qwen/Qwen2.5-14B-Instruct,end,safe,safe,2777,87.05329153605015,3190
Qwen/Qwen2.5-14B-Instruct,end,safe,unsafe,83,2.6018808777429467,3190
Qwen/Qwen2.5-14B-Instruct,end,unsafe,safe,120,3.761755485893417,3190
Qwen/Qwen2.5-14B-Instruct,end,unsafe,unsafe,210,6.58307210031348,3190
Qwen/Qwen2.5-14B-Instruct,middle,safe,safe,64,56.63716814159292,113
Qwen/Qwen2.5-14B-Instruct,middle,safe,unsafe,14,12.389380530973451,113
Qwen/Qwen2.5-14B-Instruct,middle,unsafe,safe,3,2.6548672566371683,113
Qwen/Qwen2.5-14B-Instruct,middle,unsafe,unsafe,32,28.31858407079646,113
meta-llama/Llama-3.1-8B-Instruct,beginning,safe,safe,2827,88.62068965517241,3190
meta-llama/Llama-3.1-8B-Instruct,beginning,safe,unsafe,13,0.40752351097178685,3190
meta-llama/Llama-3.1-8B-Instruct,beginning,unsafe,safe,340,10.658307210031348,3190
meta-llama/Llama-3.1-8B-Instruct,beginning,unsafe,unsafe,10,0.31347962382445144,3190
meta-llama/Llama-3.1-8B-Instruct,end,safe,safe,2254,70.65830721003135,3190
meta-llama/Llama-3.1-8B-Instruct,end,safe,unsafe,190,5.956112852664577,3190
meta-llama/Llama-3.1-8B-Instruct,end,unsafe,safe,210,6.58307210031348,3190
meta-llama/Llama-3.1-8B-Instruct,end,unsafe,unsafe,536,16.802507836990596,3190
meta-llama/Llama-3.1-8B-Instruct,middle,safe,safe,2349,73.63636363636364,3190
meta-llama/Llama-3.1-8B-Instruct,middle,safe,unsafe,409,12.821316614420063,3190
meta-llama/Llama-3.1-8B-Instruct,middle,unsafe,safe,112,3.510971786833856,3190
meta-llama/Llama-3.1-8B-Instruct,middle,unsafe,unsafe,320,10.031347962382446,3190
